glide_file,best_ng_match,hamming_distance
THE LEGEND OF ZELDA#1B01BBCA#3#0_all.png,textures/map_name_static/gHyliaLakesidePointNameENGTex.png,0
THE LEGEND OF ZELDA#6C5798C8#2#1#F859FA29_ciByRGBA.png,scenes/mq/ganontika_scene/ganontika_room_11Tex_005150.png,0
THE LEGEND OF ZELDA#CF63E089#0#2_all.png,objects/object_jj/gJabuJabuCapOuterTex.png,0
THE LEGEND OF ZELDA#AFD4F962#0#2_all.png,scenes/mq/ddan_scene/ddan_room_16Tex_002158.png,0
THE LEGEND OF ZELDA#4AFCD9FB#3#1_all.png,textures/icon_item_jpn_static/gPauseYesJPNTex.png,0
THE LEGEND OF ZELDA#CCF3F9FF#0#2_all.png,objects/object_zl1/gChildZelda1BootTex.png,0
THE LEGEND OF ZELDA#46D4C98C#3#0_all.png,textures/item_name_static/gZoraTunicItemNameFRATex.png,8
THE LEGEND OF ZELDA#AEBCE946#4#0_all.png,textures/map_i_static/gShadowTempleRoom6MinimapTex.png,0
THE LEGEND OF ZELDA#9CA81DBB#4#0_all.png,textures/kanji/gMsgKanji8F80Tex.png,0
THE LEGEND OF ZELDA#335FE594#2#1#A138A64E_ciByRGBA.png,scenes/shared/ganon_sonogo_scene/ganon_sonogo_room_2Tex_005240.png,0
THE LEGEND OF ZELDA#ACCF0384#4#0_all.png,textures/kanji/gMsgKanji9149Tex.png,0
THE LEGEND OF ZELDA#7D4FD8BE#0#2_all.png,scenes/shared/nakaniwa_scene/nakaniwa_room_0Tex_007818.png,0
THE LEGEND OF ZELDA#83387132#3#0_all.png,textures/icon_item_ger_static/gPauseToMapGERTex.png,6
THE LEGEND OF ZELDA#3020E4A1#3#0_all.png,textures/map_grand_static/gLonLonRanchMinimapTex.png,0
THE LEGEND OF ZELDA#B1B54E9A#2#1#9AB78901_ciByRGBA.png,objects/object_st/object_st_Tex_0024D0.png,0
THE LEGEND OF ZELDA#F249E0F4#3#1_all.png,textures/icon_item_static/gPauseMap13Tex.png,0
THE LEGEND OF ZELDA#080A15CC#3#1_all.png,textures/icon_item_static/gPauseQuestStatus22Tex.png,0
THE LEGEND OF ZELDA#78878F01#4#0_all.png,textures/kanji/gMsgKanji8FC4Tex.png,0
THE LEGEND OF ZELDA#F4F9788C#3#1_all.png,textures/item_name_static/gGerudoMaskItemNameFRATex.png,8
THE LEGEND OF ZELDA#371892D8#3#0_all.png,textures/item_name_static/gBulletBag50ItemNameENGTex.png,0
THE LEGEND OF ZELDA#3F2706D3#0#2_all.png,scenes/mq/HIDAN_scene/HIDAN_room_20Tex_005508.png,0
THE LEGEND OF ZELDA#2DE5EDE2#0#2_all.png,scenes/mq/ddan_scene/ddan_room_16Tex_002158.png,0
THE LEGEND OF ZELDA#C563CE9C#4#0_all.png,textures/kanji/gMsgKanji89B7Tex.png,2
THE LEGEND OF ZELDA#7AEBC20C#2#0#4659240C_ciByRGBA.png,scenes/shared/spot07_scene/spot07_sceneTex_005398.png,0
THE LEGEND OF ZELDA#17C93CB7#4#0_all.png,textures/kanji/gMsgKanji8178NijyuukagikakkoRightTex.png,0
THE LEGEND OF ZELDA#CF1CB57E#4#0_all.png,textures/kanji/gMsgKanji91CATex.png,0
THE LEGEND OF ZELDA#EABB6AA7#0#2_all.png,scenes/mq/ddan_scene/ddan_room_16Tex_002158.png,0
THE LEGEND OF ZELDA#20FFAAE6#0#3_all.png,textures/icon_item_static/gItemIconSwordKokiriTex.png,0
THE LEGEND OF ZELDA#9589C2B6#2#1#87F244E1_ciByRGBA.png,objects/object_link_child/gLinkChildEyesShockTex.png,0
THE LEGEND OF ZELDA#71C3D34B#0#2_all.png,objects/gameplay_keep/gHilite2Tex_Overflow.png,0
THE LEGEND OF ZELDA#445F403F#4#0_all.png,textures/kanji/gMsgKanji8E9FTex.png,0
THE LEGEND OF ZELDA#5A2CACF0#4#0_all.png,textures/nes_font_static/gMsgCharA6ButtonCDownTex.png,0
THE LEGEND OF ZELDA#9AA01345#3#0_all.png,textures/item_name_static/gBombItemNameItemNameGERTex.png,6
THE LEGEND OF ZELDA#55DB4A4E#4#1_all.png,scenes/shared/yousei_izumi_yoko_scene/yousei_izumi_yoko_sceneTex_003DA0.png,0
THE LEGEND OF ZELDA#CCAB8919#0#2_all.png,scenes/shared/hakasitarelay_scene/hakasitarelay_room_0Tex_003448.png,0
THE LEGEND OF ZELDA#CDF56E3F#0#2_all.png,objects/object_fish/gFishingFishTex_001AD0.png,0
THE LEGEND OF ZELDA#1A88FDBC#3#1_all.png,textures/g_pn_22/gHouseOfSkulltulaTitleCardENGTex.png,0
THE LEGEND OF ZELDA#9771BC00#2#1#C01F30BF_ciByRGBA.png,objects/object_fa/gFaEarTex.png,4
THE LEGEND OF ZELDA#586953D8#4#0_all.png,textures/map_i_static/gShadowTempleRoom8Basement2MinimapTex.png,0
THE LEGEND OF ZELDA#7876B98B#3#1_all.png,textures/g_pn_24/gPotionShopTitleCardGERTex.png,8
THE LEGEND OF ZELDA#B23F2F1E#2#1#48FC675E_ciByRGBA.png,objects/object_im/gImpaShoulderPadBottomEdgeTex.png,0
THE LEGEND OF ZELDA#E06C5232#0#2_all.png,objects/object_haka_door/object_haka_door_Tex_001490.png,0
THE LEGEND OF ZELDA#9D3D7D66#3#0_all.png,textures/item_name_static/gBigPoeItemNameFRATex.png,2
THE LEGEND OF ZELDA#546699CA#0#2_all.png,scenes/mq/ddan_scene/ddan_room_16Tex_002158.png,0
THE LEGEND OF ZELDA#55E8CB17#2#1#D7FC5B47_ciByRGBA.png,objects/object_link_child/gLinkChildMouth3Tex.png,0
THE LEGEND OF ZELDA#BAFED5B8#0#3_all.png,textures/icon_item_static/gItemIconQuiver40Tex.png,0
THE LEGEND OF ZELDA#116CA92B#0#2_all.png,scenes/mq/ddan_scene/ddan_room_16Tex_002158.png,0
THE LEGEND OF ZELDA#613732C1#3#1_all.png,textures/icon_item_jpn_static/gPauseQuestStatus00JPNTex.png,0
THE LEGEND OF ZELDA#BCC6BD7F#2#1#62A35339_ciByRGBA.png,scenes/shared/spot03_scene/spot03_sceneTex_006D58.png,0
THE LEGEND OF ZELDA#0CB6EC56#2#1#03574F27_ciByRGBA.png,objects/object_rl/object_rl_Tex_006618.png,0
THE LEGEND OF ZELDA#1C522EE7#2#1#6A08C8AC_ciByRGBA.png,objects/object_cs/gGraveyardKidBoot2Tex.png,0
THE LEGEND OF ZELDA#844E1CE5#3#1_all.png,textures/icon_item_static/gRButtonTex.png,4
THE LEGEND OF ZELDA#D79B611B#0#2_all.png,overlays/ovl_En_Sth/sHair1Tex.png,0
THE LEGEND OF ZELDA#CE11D242#4#0_all.png,textures/kanji/gMsgKanji92A5Tex.png,0
THE LEGEND OF ZELDA#EA2BB482#3#1_all.png,textures/map_name_static/gHyruleFieldPositionNameFRATex.png,0
THE LEGEND OF ZELDA#03374D54#4#0_all.png,textures/kanji/gMsgKanji92DETex.png,2
THE LEGEND OF ZELDA#48367BA8#3#0_all.png,textures/item_name_static/gMaskofTruthItemNameGERTex.png,0
THE LEGEND OF ZELDA#3FF03B42#4#0_all.png,textures/kanji/gMsgKanji8365KatakanaTeTex.png,0
THE LEGEND OF ZELDA#B8A14506#4#0_all.png,textures/icon_item_field_static/gWorldMapCloud10Tex.png,2
THE LEGEND OF ZELDA#14CAA4CA#2#1#6D549B0A_ciByRGBA.png,scenes/mq/men_scene/men_room_7Tex_0072B8.png,0
THE LEGEND OF ZELDA#0AB27F84#4#1_all.png,objects/gameplay_keep/gLinkTunic3Tex.png,2
THE LEGEND OF ZELDA#4527B4C9#2#0#1659040E_ciByRGBA.png,scenes/shared/spot07_scene/spot07_sceneTex_005B98.png,0
THE LEGEND OF ZELDA#2AB9F4A8#0#2_all.png,scenes/mq/ddan_scene/ddan_room_16Tex_002158.png,0
THE LEGEND OF ZELDA#572EDC2C#4#0_all.png,textures/kanji/gMsgKanji82E3HiraganaSmallYuTex.png,0
THE LEGEND OF ZELDA#B434398E#3#0_all.png,textures/item_name_static/gPocketEggItemNameJPNTex.png,0
THE LEGEND OF ZELDA#A84596B6#0#2_all.png,objects/object_fd/object_fdTex_0054A8.png,0
THE LEGEND OF ZELDA#3BB23C1A#3#0_all.png,textures/item_name_static/gSunsSongItemNameENGTex.png,4
THE LEGEND OF ZELDA#757AD8D8#4#0_all.png,objects/object_ps/object_psTex_002378.png,0
THE LEGEND OF ZELDA#F0BC8E9C#3#0_all.png,textures/do_action_static/gNum6DoActionJPNTex.png,0
THE LEGEND OF ZELDA#D86FCC3C#0#2_all.png,scenes/shared/mahouya_scene/mahouya_sceneTex_000A20.png,0
THE LEGEND OF ZELDA#308BE8C4#4#1_all.png,objects/gameplay_keep/gEffEnemyDeathFlame10Tex.png,0
THE LEGEND OF ZELDA#32ADCF02#4#0_all.png,textures/kanji/gMsgKanji8BB6Tex.png,0
THE LEGEND OF ZELDA#D51D4F73#0#2_all.png,objects/object_ganon/gGanondorfCrazedEyeTex.png,0
THE LEGEND OF ZELDA#0F5BA0F8#4#0_all.png,textures/kanji/gMsgKanji8363KatakanaTsuTex.png,0
THE LEGEND OF ZELDA#EE4EF80D#2#1#A5B6079B_ciByRGBA.png,objects/gameplay_keep/gBombCapTex.png,0
THE LEGEND OF ZELDA#E371C759#0#2_all.png,scenes/mq/ddan_scene/ddan_room_16Tex_002158.png,0
THE LEGEND OF ZELDA#D6E6C6CA#4#0_all.png,textures/kanji/gMsgKanji90D8Tex.png,0
THE LEGEND OF ZELDA#B02C7970#4#0_all.png,textures/nes_font_static/gMsgChar44LatinCapitalLetterDTex.png,0
THE LEGEND OF ZELDA#2F94B388#3#0_all.png,textures/item_name_static/gGoronTunicItemNameFRATex.png,8
THE LEGEND OF ZELDA#D37C754D#0#2_all.png,scenes/mq/ddan_scene/ddan_room_16Tex_002158.png,0
THE LEGEND OF ZELDA#A0384E0F#0#3_all.png,textures/icon_item_static/gItemIconOddMushroomTex.png,4
THE LEGEND OF ZELDA#88308686#0#2_all.png,scenes/mq/ddan_scene/ddan_room_16Tex_002158.png,0
THE LEGEND OF ZELDA#AE982FF3#0#2_all.png,scenes/mq/ddan_scene/ddan_room_16Tex_002158.png,0
THE LEGEND OF ZELDA#DB184EA4#4#0_all.png,textures/kanji/gMsgKanji8142KutenTex.png,0
THE LEGEND OF ZELDA#3DA072B0#4#0_all.png,textures/kanji/gMsgKanji9748Tex.png,0
THE LEGEND OF ZELDA#AEC08D02#2#1#0A171F35_ciByRGBA.png,scenes/mq/Bmori1_scene/Bmori1_room_17Tex_006CE8.png,0
THE LEGEND OF ZELDA#6633597B#0#2_all.png,objects/object_horse_zelda/object_horse_zeldaTex_002978.png,0
THE LEGEND OF ZELDA#F599BD56#0#2_all.png,objects/object_xc/object_xcTex_00FDD0.png,0
THE LEGEND OF ZELDA#4B807DAE#0#2_all.png,scenes/shared/spot12_scene/spot12_room_1Tex_009E38.png,0
THE LEGEND OF ZELDA#0A4333A3#0#2_all.png,scenes/mq/HIDAN_scene/HIDAN_room_1Tex_00B530.png,0
THE LEGEND OF ZELDA#9B92DB78#3#1_all.png,textures/g_pn_35/gGERudoValleyTitleCardFRATex.png,0
THE LEGEND OF ZELDA#189F18D5#0#3_all.png,textures/icon_item_static/gItemIconTunicGoronTex.png,0
THE LEGEND OF ZELDA#25B75888#4#0_all.png,textures/kanji/gMsgKanji896ATex.png,0
THE LEGEND OF ZELDA#259C64EC#3#0_all.png,textures/item_name_static/gIronBootsItemNameGERTex.png,0
THE LEGEND OF ZELDA#00D41D1C#4#1_all.png,objects/gameplay_keep/gEffUnknown5Tex.png,0
THE LEGEND OF ZELDA#2BC6C44A#3#1_all.png,textures/icon_item_fra_static/gPauseToSelectItemFRATex.png,0
THE LEGEND OF ZELDA#E92466F2#3#1_all.png,objects/object_kingdodongo/object_kingdodongo_Tex_0264E0.png,2
THE LEGEND OF ZELDA#0BA1168D#4#0_all.png,textures/kanji/gMsgKanji8B75Tex.png,0
THE LEGEND OF ZELDA#445A5BF7#3#0_all.png,textures/item_name_static/gLensItemNameENGTex.png,0
THE LEGEND OF ZELDA#E7C3423C#3#0_all.png,textures/item_name_static/gHoverBootsItemNameGERTex.png,0
THE LEGEND OF ZELDA#1C7CB0C1#2#1#CE9CD6EE_ciByRGBA.png,objects/object_rl/object_rlTex_003420.png,0
THE LEGEND OF ZELDA#3DD97B44#2#1#4E0E908B_ciByRGBA.png,scenes/mq/Bmori1_scene/Bmori1_room_8Tex_00B410.png,0
THE LEGEND OF ZELDA#79212715#4#0_all.png,textures/kanji/gMsgKanji826ECapitalOTex.png,0
THE LEGEND OF ZELDA#DE005D83#0#2_all.png,objects/object_sb/object_sb_Tex_001A20.png,2
THE LEGEND OF ZELDA#70A948B8#0#2_all.png,scenes/mq/ddan_scene/ddan_room_16Tex_002158.png,0
THE LEGEND OF ZELDA#4390F737#2#1#4214E6DC_ciByRGBA.png,objects/object_daiku/object_daiku_Tex_001E20.png,0
THE LEGEND OF ZELDA#A0659676#0#2_all.png,objects/object_firefly/gFireKeeseBodyTex.png,2
THE LEGEND OF ZELDA#9C6B85C9#0#2_all.png,scenes/shared/spot02_scene/spot02_room_1Tex_00E108.png,2
THE LEGEND OF ZELDA#56A608F2#3#1_all.png,scenes/shared/spot10_scene/spot10_room_9Tex_0033D8.png,0
THE LEGEND OF ZELDA#DD1473A9#2#1#9ECF4B41_ciByRGBA.png,scenes/mq/Bmori1_scene/Bmori1_room_14Tex_004D60.png,0
THE LEGEND OF ZELDA#E3C50183#4#0_all.png,textures/kanji/gMsgKanji9387Tex.png,0
THE LEGEND OF ZELDA#068D96ED#0#2_all.png,scenes/shared/hylia_labo_scene/hylia_labo_sceneTex_00C890.png,2
THE LEGEND OF ZELDA#B3BF7E25#2#1#4E54964F_ciByRGBA.png,scenes/mq/Bmori1_scene/Bmori1_room_0Tex_007CF8.png,0
THE LEGEND OF ZELDA#27F3C62F#2#1#1FA78DF3_ciByRGBA.png,objects/object_zl1/gChildZelda1PurpleDressPatternTex.png,0
THE LEGEND OF ZELDA#A056CEB4#3#0_all.png,textures/item_name_static/gKokiriTunicItemNameGERTex.png,6
THE LEGEND OF ZELDA#21302F46#4#0_all.png,textures/kanji/gMsgKanji82D5HiraganaPuTex.png,0
THE LEGEND OF ZELDA#A13582BD#4#0_all.png,textures/kanji/gMsgKanji8B4DTex.png,0
THE LEGEND OF ZELDA#E593EBDC#0#2_all.png,scenes/shared/spot12_scene/spot12_room_1Tex_007E38.png,0
THE LEGEND OF ZELDA#1932F79F#2#1#939FF18E_ciByRGBA.png,objects/object_sd/gEnHeishiKingGuardChestArmorTex.png,0
THE LEGEND OF ZELDA#7339D14E#0#2_all.png,objects/object_wallmaster/gWallmasterUpperSkinTex.png,0
THE LEGEND OF ZELDA#2FA157EC#4#0_all.png,textures/kanji/gMsgKanji8EF3Tex.png,0
THE LEGEND OF ZELDA#C8D8E9C9#3#0_all.png,textures/do_action_static/gReturnDoActionENGTex.png,8
THE LEGEND OF ZELDA#005E1E7A#4#0_all.png,textures/map_i_static/gFireTempleRoom7Floor1MinimapTex.png,8
THE LEGEND OF ZELDA#8EAA91CA#2#1#6A2C6AB3_ciByRGBA.png,objects/object_link_boy/gLinkAdultUnusedSheathBandTex.png,0
4f15b8e1#0#2.png,scenes/shared/spot10_scene/spot10_room_6Tex_0022E8.png,0
THE LEGEND OF ZELDA#64109405#2#0#ED35440D_ciByRGBA.png,scenes/shared/spot07_scene/spot07_sceneTex_005798.png,0
THE LEGEND OF ZELDA#E0ABFDAD#0#2_all.png,objects/object_wf/gWolfosNormalMouthTex.png,0
THE LEGEND OF ZELDA#EC87064A#2#1#37F42AF8_ciByRGBA.png,scenes/shared/spot12_scene/spot12_room_0Tex_00B6B0.png,0
THE LEGEND OF ZELDA#4C877DC2#3#1_all.png,textures/map_name_static/gGoronCityPositionNameGERTex.png,4
THE LEGEND OF ZELDA#253273B7#4#0_all.png,textures/kanji/gMsgKanji89EFTex.png,0
THE LEGEND OF ZELDA#661CA34A#2#1#92AFDE39_ciByRGBA.png,objects/object_md/gMidoTex_D20.png,0
THE LEGEND OF ZELDA#8E0B933C#4#1_all.png,objects/object_mjin_wind/gForestMedallionPlatformTex.png,0
THE LEGEND OF ZELDA#7068014A#4#0_all.png,textures/kanji/gMsgKanji934BTex.png,0
THE LEGEND OF ZELDA#C37112D6#3#1_all.png,textures/title_static/gFileSelNameENGTex.png,6
THE LEGEND OF ZELDA#44D680F8#0#2_all.png,objects/object_jj/gJabuJabuEyeOrbitTex.png,4
THE LEGEND OF ZELDA#AF42C168#3#0_all.png,textures/map_name_static/gHyliaLakesidePointNameFRATex.png,0
THE LEGEND OF ZELDA#2B97D417#4#0_all.png,textures/kanji/gMsgKanji82A4HiraganaUTex.png,0
THE LEGEND OF ZELDA#2363B89B#3#1_all.png,textures/icon_item_nes_static/gPauseSelectItem20ENGTex.png,0
THE LEGEND OF ZELDA#A1C49C86#4#0_all.png,textures/kanji/gMsgKanji8C4DTex.png,0
THE LEGEND OF ZELDA#039256CA#0#2_all.png,scenes/mq/ddan_scene/ddan_room_16Tex_002158.png,0
THE LEGEND OF ZELDA#66AB06CF#2#1#1F5A050E_ciByRGBA.png,objects/object_st/object_st_Tex_0007E0.png,0
THE LEGEND OF ZELDA#7A6044CF#0#2_all.png,objects/object_skb/gStalchildNostrilTex.png,0
THE LEGEND OF ZELDA#9BE3D540#4#0_all.png,textures/kanji/gMsgKanji936BTex.png,0
THE LEGEND OF ZELDA#3B734773#3#0_all.png,textures/item_name_static/gDekuShieldItemNameFRATex.png,0
THE LEGEND OF ZELDA#7B987D03#2#1#A380020B_ciByRGBA.png,objects/object_bob/object_bob_Tex_001FC8.png,0
THE LEGEND OF ZELDA#C36F33BF#0#2_all.png,scenes/mq/ddan_scene/ddan_room_16Tex_002158.png,0
THE LEGEND OF ZELDA#66487369#4#0_all.png,textures/kanji/gMsgKanji8393KatakanaNTex.png,0
THE LEGEND OF ZELDA#F3540131#4#0_all.png,objects/gameplay_keep/gEffHitMark4Tex.png,0
THE LEGEND OF ZELDA#EC9F2C3B#2#1#73A6AC38_ciByRGBA.png,objects/object_ossan/object_ossanTex_0096B8.png,2
THE LEGEND OF ZELDA#1AB230FE#4#0_all.png,objects/gameplay_keep/gEffLightning4Tex.png,0
THE LEGEND OF ZELDA#BFC62959#3#2_all.png,objects/object_vali/gBariNucleusTex.png,2
THE LEGEND OF ZELDA#2465DB28#4#0_all.png,textures/kanji/gMsgKanji936ETex.png,0
THE LEGEND OF ZELDA#33EB5F41#0#2_all.png,scenes/mq/Bmori1_scene/Bmori1_room_0Tex_0074F8.png,8
THE LEGEND OF ZELDA#F614E896#2#1#684E69E3_ciByRGBA.png,scenes/shared/spot18_scene/spot18_room_3Tex_011C48.png,0
THE LEGEND OF ZELDA#F51FE83D#0#2_all.png,scenes/shared/test01_scene/test01_room_0Tex_008490.png,2
THE LEGEND OF ZELDA#27E9CE9E#3#0_all.png,textures/item_name_static/gDekuStickItemNameFRATex.png,8
THE LEGEND OF ZELDA#5529CF1E#0#2_all.png,objects/object_firefly/gKeeseEyeTex.png,4
THE LEGEND OF ZELDA#42DEC0A5#2#1#267C181E_ciByRGBA.png,objects/object_du/gDaruniaSkelTex_72C0.png,8
THE LEGEND OF ZELDA#93691A1D#2#0#1659040E_ciByRGBA.png,scenes/shared/spot07_scene/spot07_sceneTex_004F98.png,0
THE LEGEND OF ZELDA#04FD678D#3#1_all.png,scenes/mq/HAKAdanCH_scene/HAKAdanCH_room_0Tex_011920.png,2
THE LEGEND OF ZELDA#B6083023#2#1#8A7BAF86_ciByRGBA.png,objects/object_bji/object_bji_Tex_0009FC.png,0
THE LEGEND OF ZELDA#FB5AC023#3#0_all.png,textures/item_name_static/gPrescriptionItemNameENGTex.png,0
THE LEGEND OF ZELDA#CDAC92DB#0#2_all.png,objects/object_fd/object_fdTex_00BE58.png,0
THE LEGEND OF ZELDA#9F895FCF#2#1#8B9BEF93_ciByRGBA.png,objects/object_ms/gBeanSalesmanEarTex.png,0
THE LEGEND OF ZELDA#195837CB#4#0_all.png,textures/kanji/gMsgKanji946ATex.png,0
THE LEGEND OF ZELDA#4C2E39ED#0#2_all.png,scenes/shared/spot02_scene/spot02_room_1Tex_016D88.png,2
THE LEGEND OF ZELDA#09358290#2#1#9DDCC2F3_ciByRGBA.png,objects/object_ps/object_psTex_007640.png,0
THE LEGEND OF ZELDA#B0227970#4#0_all.png,textures/nes_font_static/gMsgChar44LatinCapitalLetterDTex.png,0
THE LEGEND OF ZELDA#4B2CACE9#2#1#AC33FBC5_ciByRGBA.png,scenes/mq/ddan_scene/ddan_room_12Tex_003B80.png,0
THE LEGEND OF ZELDA#C28344F3#3#2_all.png,objects/object_link_boy/gLinkAdultHookshotChainTex.png,2
THE LEGEND OF ZELDA#51740E66#0#2_all.png,scenes/mq/MIZUsin_scene/MIZUsin_room_22Tex_0058E8.png,0
THE LEGEND OF ZELDA#4DE42BD3#3#1_all.png,textures/map_name_static/gMarketPositionNameJPNTex.png,0
THE LEGEND OF ZELDA#3E45C0DE#2#1#0ECC887D_ciByRGBA.png,scenes/shared/ganon_sonogo_scene/ganon_sonogo_room_1Tex_004D48.png,0
