glide_file,glide_path,glide_hash,glide_width,glide_height,ng_path,ng_hash,ng_width,ng_height,hamming_distance
THE LEGEND OF ZELDA#307A1085#2#1#6F9D800A_ciByRGBA.png,/wip/glideout/THE LEGEND OF ZELDA#307A1085#2#1#6F9D800A_ciByRGBA.png,80ddd1a5ee987986,256,256,objects/object_link_boy/gLinkAdultArmGauntletTex.png,80ddd1a5ee987986,256,256,0
THE LEGEND OF ZELDA#A398C3B5#0#2_all.png,/wip/glideout/THE LEGEND OF ZELDA#A398C3B5#0#2_all.png,f891e6243d5a1b93,64,64,objects/object_peehat/gPeehatUpperBodyTex.png,f891e6243d5a1b93,64,64,0
THE LEGEND OF ZELDA#94293B3F#3#1_all.png,/wip/glideout/THE LEGEND OF ZELDA#94293B3F#3#1_all.png,94c36f3ce1c21e4d,128,128,textures/title_static/gFileSelShadowMedallionTex.png,94c36f3ce1c21e4d,128,128,0
THE LEGEND OF ZELDA#33BE0422#0#2_all.png,/wip/glideout/THE LEGEND OF ZELDA#33BE0422#0#2_all.png,f3c69c2586394b96,128,128,objects/object_ru2/object_ru2Tex_0056C0.png,f3c69c2586394b96,128,128,0
THE LEGEND OF ZELDA#1A792414#0#3_all.png,/wip/glideout/THE LEGEND OF ZELDA#1A792414#0#3_all.png,cfcc303063b333ce,256,256,textures/icon_item_static/gItemIconPocketEggTex.png,cfcc303063b333ce,256,256,0
THE LEGEND OF ZELDA#1BAA9DAA#0#2_all.png,/wip/glideout/THE LEGEND OF ZELDA#1BAA9DAA#0#2_all.png,d4db0fcd425e341a,256,512,scenes/shared/ganontikasonogo_scene/ganontikasonogo_room_1Tex_008460.png,d4db0fcd425e341a,256,512,0
THE LEGEND OF ZELDA#556F8442#4#1_all.png,/wip/glideout/THE LEGEND OF ZELDA#556F8442#4#1_all.png,8ccc3263bce5e319,512,512,scenes/shared/ganon_tou_scene/ganon_tou_sceneTex_003280.png,8ccc3263bce5e319,512,512,0
THE LEGEND OF ZELDA#798FA205#4#1_all.png,/wip/glideout/THE LEGEND OF ZELDA#798FA205#4#1_all.png,cc35296d37eac486,256,256,scenes/mq/ice_doukutu_scene/ice_doukutu_sceneTex_00FCC0.png,cc35296d35eac487,256,256,2
THE LEGEND OF ZELDA#610D36C6#4#0_all.png,/wip/glideout/THE LEGEND OF ZELDA#610D36C6#4#0_all.png,b649b6b649a5b245,384,340,textures/map_i_static/gShadowTempleRoom13MinimapTex.png,b649b6b649a5b245,384,340,0
THE LEGEND OF ZELDA#907684ED#4#1_all.png,/wip/glideout/THE LEGEND OF ZELDA#907684ED#4#1_all.png,bb91126c1cbc99dc,256,256,objects/object_link_child/gLinkChildWaistTex.png,bb91126c0cbc99fc,256,256,2
THE LEGEND OF ZELDA#EED5DD66#3#2_all.png,/wip/glideout/THE LEGEND OF ZELDA#EED5DD66#3#2_all.png,cbdfc09032c039ef,512,128,textures/title_static/gFileSelCopyButtonGERTex.png,cfdfd49032c030cf,512,128,6
THE LEGEND OF ZELDA#E3E753F8#0#2_all.png,/wip/glideout/THE LEGEND OF ZELDA#E3E753F8#0#2_all.png,d272309a1acf6f25,64,64,objects/object_po_sisters/object_po_sistersTex_005CF8.png,d272309a1acf6f25,64,64,0
THE LEGEND OF ZELDA#2C4EBAA7#0#2_all.png,/wip/glideout/THE LEGEND OF ZELDA#2C4EBAA7#0#2_all.png,84d35b2c7bac6c31,256,256,objects/object_fr/object_fr_Tex_0043A0.png,84d35b2c7bac6c31,256,256,0
THE LEGEND OF ZELDA#6E203A49#4#0_all.png,/wip/glideout/THE LEGEND OF ZELDA#6E203A49#4#0_all.png,d514005faae8ff1c,512,512,scenes/shared/spot00_scene/spot00_sceneTex_023818.png,d514005faae8ff1c,512,512,0
THE LEGEND OF ZELDA#76429C5D#4#1_all.png,/wip/glideout/THE LEGEND OF ZELDA#76429C5D#4#1_all.png,fb0784b8e3600f9e,256,256,objects/gameplay_keep/gFlameWall2Tex.png,fb0784b8e3601f9a,256,256,2
THE LEGEND OF ZELDA#243FE658#0#2_all.png,/wip/glideout/THE LEGEND OF ZELDA#243FE658#0#2_all.png,b03e76365c1c926e,128,512,scenes/shared/spot06_scene/spot06_sceneTex_015CB8.png,b03e76365e1c126e,128,512,2
THE LEGEND OF ZELDA#E8E8CA53#4#0_all.png,/wip/glideout/THE LEGEND OF ZELDA#E8E8CA53#4#0_all.png,e0f81fc7210fcf11,128,128,textures/nes_font_static/gMsgChar6BLatinSmallLetterKTex.png,e0f81fc7210fcf11,128,128,0
THE LEGEND OF ZELDA#0777B47F#0#2_all.png,/wip/glideout/THE LEGEND OF ZELDA#0777B47F#0#2_all.png,afd1401797c0f8ec,256,512,scenes/shared/tokinoma_scene/tokinoma_sceneTex_00DFA0.png,afd1401797c0f8ec,256,512,0
THE LEGEND OF ZELDA#043EDC22#3#1_all.png,/wip/glideout/THE LEGEND OF ZELDA#043EDC22#3#1_all.png,c4ce3b3164c639cd,128,128,textures/title_static/gFileSelSpiritMedallionTex.png,c4ce3b3164c639cd,128,128,0
THE LEGEND OF ZELDA#C4D32668#0#2_all.png,/wip/glideout/THE LEGEND OF ZELDA#C4D32668#0#2_all.png,9bbd65484f0798b4,256,256,scenes/shared/syatekijyou_scene/syatekijyou_sceneTex_0054C0.png,9bbd65484f0798b4,256,256,0
THE LEGEND OF ZELDA#7C5A7747#0#2_all.png,/wip/glideout/THE LEGEND OF ZELDA#7C5A7747#0#2_all.png,bdc1c0bcdb4cb249,256,128,objects/object_jj/gJabuJabuNostrilTex.png,bdc1c0bcdb4cb249,256,128,0
THE LEGEND OF ZELDA#3BDE5905#3#0_all.png,/wip/glideout/THE LEGEND OF ZELDA#3BDE5905#3#0_all.png,d1b32fd45048e74e,1024,128,textures/item_name_static/gBombBag20ItemNameENGTex.png,d0b32fc4d048e56f,1024,128,6
THE LEGEND OF ZELDA#7373F99B#0#3_all.png,/wip/glideout/THE LEGEND OF ZELDA#7373F99B#0#3_all.png,c64c38c5cd937c39,256,256,textures/icon_item_static/gItemIconBottleRutosLetterTex.png,c64c38e5cd937c38,256,256,2
THE LEGEND OF ZELDA#2A076B81#2#1#0CB5209B_ciByRGBA.png,/wip/glideout/THE LEGEND OF ZELDA#2A076B81#2#1#0CB5209B_ciByRGBA.png,82c5b9fa87e9a24c,512,256,scenes/mq/jyasinzou_scene/jyasinzou_room_21Tex_003660.png,82c5b9fa87e9a24c,512,256,0
THE LEGEND OF ZELDA#38D3E79E#2#1#762A9B7E_ciByRGBA.png,/wip/glideout/THE LEGEND OF ZELDA#38D3E79E#2#1#762A9B7E_ciByRGBA.png,95cb324b419d7cac,256,256,scenes/mq/ddan_scene/gDCLavaFloor4Tex.png,95cb324b419d7cac,256,256,0
THE LEGEND OF ZELDA#4C2C8460#3#0_all.png,/wip/glideout/THE LEGEND OF ZELDA#4C2C8460#3#0_all.png,93a92c3c6d36174d,128,1024,scenes/mq/HAKAdanCH_scene/HAKAdanCH_room_0Tex_014B20.png,93a92c3c6d26574d,128,1024,2
THE LEGEND OF ZELDA#70B7DEE6#0#2_all.png,/wip/glideout/THE LEGEND OF ZELDA#70B7DEE6#0#2_all.png,95976a7869693525,128,128,objects/object_ny/gEnNySpikeTex.png,95976a7869693525,256,256,0
THE LEGEND OF ZELDA#0699E784#0#2_all.png,/wip/glideout/THE LEGEND OF ZELDA#0699E784#0#2_all.png,d7cb4c27ada95c01,256,256,scenes/shared/tokinoma_scene/tokinoma_room_0Tex_0151D8.png,d7cb4c27ada95c01,256,256,0
THE LEGEND OF ZELDA#56D26BD4#2#1#6B3D50F8_ciByRGBA.png,/wip/glideout/THE LEGEND OF ZELDA#56D26BD4#2#1#6B3D50F8_ciByRGBA.png,9db9666693b203c6,128,128,objects/object_link_child/gLinkChildMasterSwordEmblemTex.png,9db9666693b203c6,128,128,0
THE LEGEND OF ZELDA#1FDA67E5#0#3_all.png,/wip/glideout/THE LEGEND OF ZELDA#1FDA67E5#0#3_all.png,c49535e54c595373,256,256,textures/icon_item_static/gItemIconSwordBiggoronTex.png,c59534e54c595373,256,256,2
THE LEGEND OF ZELDA#703C161B#0#2_all.png,/wip/glideout/THE LEGEND OF ZELDA#703C161B#0#2_all.png,dc7910edb5366d02,64,64,objects/object_gol/gObjectGolEggTex.png,dc7910edb5366d02,64,64,0
THE LEGEND OF ZELDA#7304EFBA#0#2_all.png,/wip/glideout/THE LEGEND OF ZELDA#7304EFBA#0#2_all.png,d19c67962768c44f,64,64,objects/object_bv/object_bvTex_018770.png,d19c66962769cc66,64,64,6
THE LEGEND OF ZELDA#A0BD7477#0#3_all.png,/wip/glideout/THE LEGEND OF ZELDA#A0BD7477#0#3_all.png,943565cc3be19e32,256,256,textures/icon_item_static/gItemIconMagicBeanTex.png,943565c93be19e32,256,256,2
THE LEGEND OF ZELDA#C83AE795#3#0_all.png,/wip/glideout/THE LEGEND OF ZELDA#C83AE795#3#0_all.png,91396dc6872e9669,1024,128,textures/map_name_static/gLonLonRanchPointNameENGTex.png,91396dc6872e9669,1024,128,0
THE LEGEND OF ZELDA#89BF7D4D#3#0_all.png,/wip/glideout/THE LEGEND OF ZELDA#89BF7D4D#3#0_all.png,9964339bcc663399,384,128,textures/do_action_static/gNum4DoActionGERTex.png,9964339bcc663399,384,128,0
THE LEGEND OF ZELDA#5EE8E84E#2#1#837978E2_ciByRGBA.png,/wip/glideout/THE LEGEND OF ZELDA#5EE8E84E#2#1#837978E2_ciByRGBA.png,f3e14072a51f990f,128,128,objects/object_link_child/gLinkChildGerudoMaskHairTex.png,f3e1407aa51b990f,128,128,2
THE LEGEND OF ZELDA#EE8A02E2#0#2_all.png,/wip/glideout/THE LEGEND OF ZELDA#EE8A02E2#0#2_all.png,918466dae570b53e,256,512,scenes/mq/ddan_scene/ddan_room_16Tex_002158.png,918466dae570b53e,256,512,0
THE LEGEND OF ZELDA#5C721077#2#1#FFCF850D_ciByRGBA.png,/wip/glideout/THE LEGEND OF ZELDA#5C721077#2#1#FFCF850D_ciByRGBA.png,a7d89e8d18a6c2f8,128,256,scenes/shared/spot01_scene/spot01_sceneTex_00C750.png,a7d89e8d18a6c2f8,128,256,0
THE LEGEND OF ZELDA#61ECED2D#0#2_all.png,/wip/glideout/THE LEGEND OF ZELDA#61ECED2D#0#2_all.png,de9c54dba268b04e,64,1024,scenes/shared/souko_scene/souko_room_2Tex_005AE0.png,de9c54dba268b04e,64,1024,0
THE LEGEND OF ZELDA#C4826C36#2#1#A20D53FA_ciByRGBA.png,/wip/glideout/THE LEGEND OF ZELDA#C4826C36#2#1#A20D53FA_ciByRGBA.png,ff289261fc09f642,128,256,scenes/shared/spot04_scene/spot04_room_0Tex_011D08.png,ff289261fc09f642,128,256,0
THE LEGEND OF ZELDA#82B9549B#2#1#47DD7DA4_ciByRGBA.png,/wip/glideout/THE LEGEND OF ZELDA#82B9549B#2#1#47DD7DA4_ciByRGBA.png,93e178b4271a3e66,256,128,objects/object_link_child/gLinkChildSwordJewelTex.png,93e178b4271a3e66,256,128,0
THE LEGEND OF ZELDA#41869547#0#2_all.png,/wip/glideout/THE LEGEND OF ZELDA#41869547#0#2_all.png,fe6ec13e811e809e,128,128,objects/object_ma1/gMalonChildFingersTex.png,fe6ec13e811e809e,128,128,0
THE LEGEND OF ZELDA#41F61F56#0#2_all.png,/wip/glideout/THE LEGEND OF ZELDA#41F61F56#0#2_all.png,fb1208ec8687f4f8,256,512,scenes/shared/spot15_scene/spot15_sceneTex_012400.png,fb1208ec8687f4f8,256,512,0
THE LEGEND OF ZELDA#848C44A5#0#3_all.png,/wip/glideout/THE LEGEND OF ZELDA#848C44A5#0#3_all.png,90de6f65309664cd,192,192,textures/icon_item_24_static/gQuestIconMedallionFireTex.png,90de6f65309664cd,192,192,0
THE LEGEND OF ZELDA#CF57A049#0#2_all.png,/wip/glideout/THE LEGEND OF ZELDA#CF57A049#0#2_all.png,80c5553f553e9d1a,256,256,scenes/shared/nakaniwa_scene/nakaniwa_room_0Tex_010618.png,80c5553f553e9d1a,256,256,0
THE LEGEND OF ZELDA#E819E65F#0#2_all.png,/wip/glideout/THE LEGEND OF ZELDA#E819E65F#0#2_all.png,c3b6b46b6c5ce411,256,256,scenes/mq/HIDAN_scene/HIDAN_room_1Tex_009130.png,c3b6b46b6c5ce411,256,256,0
THE LEGEND OF ZELDA#A39A55A3#3#1_all.png,/wip/glideout/THE LEGEND OF ZELDA#A39A55A3#3#1_all.png,f4f51bc08a0a877b,1024,128,textures/title_static/gFileSelPleaseSelectAFileFRATex.png,f4f51bc08a0a877b,1024,128,0
THE LEGEND OF ZELDA#15ED1B35#0#2_all.png,/wip/glideout/THE LEGEND OF ZELDA#15ED1B35#0#2_all.png,9a69693265ce9c99,256,256,objects/object_link_child/gLinkChildGerudoMaskEyeTex.png,9a78693265ce9c99,256,256,2
THE LEGEND OF ZELDA#E89C831C#2#1#E203AC68_ciByRGBA.png,/wip/glideout/THE LEGEND OF ZELDA#E89C831C#2#1#E203AC68_ciByRGBA.png,bb564f04049b979e,512,256,scenes/mq/ganontika_scene/ganontika_room_12Tex_008560.png,bb564f04069b979c,512,256,2
THE LEGEND OF ZELDA#5F0DE787#2#1#6AA635DD_ciByRGBA.png,/wip/glideout/THE LEGEND OF ZELDA#5F0DE787#2#1#6AA635DD_ciByRGBA.png,a87cf41ef0b85472,256,256,scenes/mq/bdan_scene/bdan_sceneTex_015200.png,a87cf41ef0b85472,256,256,0
THE LEGEND OF ZELDA#06011D1F#3#2_all.png,/wip/glideout/THE LEGEND OF ZELDA#06011D1F#3#2_all.png,d01f9d7d1dd81aa0,64,256,objects/object_bv/object_bvTex_000040.png,d01f9d7d1dd81aa0,64,256,0
THE LEGEND OF ZELDA#3ABB6D3B#0#2_all.png,/wip/glideout/THE LEGEND OF ZELDA#3ABB6D3B#0#2_all.png,95e68dd98737090e,128,128,objects/object_bxa/object_bxa_Tex_0027F0.png,95e68dd98737090e,128,128,0
THE LEGEND OF ZELDA#A5ABF461#2#1#94DE1B12_ciByRGBA.png,/wip/glideout/THE LEGEND OF ZELDA#A5ABF461#2#1#94DE1B12_ciByRGBA.png,bec3c136c8798e58,64,64,objects/object_sa/gSariaSkinTex.png,bec2d036c9788fc8,64,64,8
THE LEGEND OF ZELDA#16FF2291#3#1_all.png,/wip/glideout/THE LEGEND OF ZELDA#16FF2291#3#1_all.png,d0c30f0c3c7f363c,128,128,textures/parameter_static/gOcarinaBtnIconCUpTex.png,d0c30f0c3c7f707c,128,128,4
THE LEGEND OF ZELDA#53BA6F9F#0#2_all.png,/wip/glideout/THE LEGEND OF ZELDA#53BA6F9F#0#2_all.png,b99f46c1e9b81607,128,128,objects/object_vm/gBeamosBodyTex.png,b99f46c1e9b81607,128,128,0
THE LEGEND OF ZELDA#C90BA654#3#1_all.png,/wip/glideout/THE LEGEND OF ZELDA#C90BA654#3#1_all.png,a9d429aad5ad2ad1,640,256,textures/icon_item_ger_static/gPauseSave20GERTex.png,a9d429aad5ad2ad1,640,256,0
THE LEGEND OF ZELDA#4E26D789#4#0_all.png,/wip/glideout/THE LEGEND OF ZELDA#4E26D789#4#0_all.png,d8d8273b0707d837,128,128,textures/nes_font_static/gMsgChar48LatinCapitalLetterHTex.png,d8d8273b0707d837,128,128,0
THE LEGEND OF ZELDA#52D84A26#3#0_all.png,/wip/glideout/THE LEGEND OF ZELDA#52D84A26#3#0_all.png,d1b32fc4d048f22f,1024,128,textures/item_name_static/gBombBag30ItemNameENGTex.png,d0b32fc4d04cf22f,1024,128,2
THE LEGEND OF ZELDA#6F49DA4D#0#3_all.png,/wip/glideout/THE LEGEND OF ZELDA#6F49DA4D#0#3_all.png,85953e52624c797b,256,256,textures/icon_item_static/gItemIconMaskSpookyTex.png,859d3e52624d693b,256,256,4
THE LEGEND OF ZELDA#514AAD13#2#0#EEDEE879_ciByRGBA.png,/wip/glideout/THE LEGEND OF ZELDA#514AAD13#2#0#EEDEE879_ciByRGBA.png,efebe9e1e2081e10,512,512,scenes/shared/spot08_scene/spot08_sceneTex_00B1A0.png,efebe9e1e2081e10,512,512,0
THE LEGEND OF ZELDA#93691A1D#2#0#1659040E_ciByRGBA.png,/wip/glideout/THE LEGEND OF ZELDA#93691A1D#2#0#1659040E_ciByRGBA.png,c5de27593827274c,512,256,scenes/shared/spot07_scene/spot07_sceneTex_004F98.png,c5de27593827274c,512,256,0
THE LEGEND OF ZELDA#53A90E91#2#1#9940972C_ciByRGBA.png,/wip/glideout/THE LEGEND OF ZELDA#53A90E91#2#1#9940972C_ciByRGBA.png,cd5292ada5e04e1f,512,256,objects/object_link_child/gLinkChildEyesHalfTex.png,cd5292ada5e04e1f,512,256,0
THE LEGEND OF ZELDA#C7FEDFB9#0#2_all.png,/wip/glideout/THE LEGEND OF ZELDA#C7FEDFB9#0#2_all.png,918466dae570b53e,256,512,scenes/mq/ddan_scene/ddan_room_16Tex_002158.png,918466dae570b53e,256,512,0
THE LEGEND OF ZELDA#3D8D9019#3#1_all.png,/wip/glideout/THE LEGEND OF ZELDA#3D8D9019#3#1_all.png,d03a6f85917a7a85,640,256,textures/map_name_static/gZorasRiverPositionNameENGTex.png,d03a6f85917a7a85,640,256,0
THE LEGEND OF ZELDA#E6EBCF64#4#0_all.png,/wip/glideout/THE LEGEND OF ZELDA#E6EBCF64#4#0_all.png,b34c4bb54a449bb5,384,340,textures/map_i_static/gFireTempleRoom12Floor1MinimapTex.png,b34c4bb54a449bb5,384,340,0
THE LEGEND OF ZELDA#5DA803A6#4#0_all.png,/wip/glideout/THE LEGEND OF ZELDA#5DA803A6#4#0_all.png,b7c360381fcf08ad,512,512,scenes/shared/spot16_scene/spot16_sceneTex_015598.png,b7c360381fcf08ad,512,512,0
THE LEGEND OF ZELDA#A1376775#2#1#BBE5E32B_ciByRGBA.png,/wip/glideout/THE LEGEND OF ZELDA#A1376775#2#1#BBE5E32B_ciByRGBA.png,805e5e662f075733,256,256,scenes/mq/jyasinzou_scene/jyasinzou_room_22Tex_002468.png,805e5e662f075733,256,256,0
THE LEGEND OF ZELDA#72CA60DD#0#2_all.png,/wip/glideout/THE LEGEND OF ZELDA#72CA60DD#0#2_all.png,e7ea3e1499036636,256,256,scenes/shared/spot08_scene/spot08_sceneTex_0069A0.png,e7e83e149b036636,256,256,2
THE LEGEND OF ZELDA#BE526EF9#2#1#F6AD9A72_ciByRGBA.png,/wip/glideout/THE LEGEND OF ZELDA#BE526EF9#2#1#F6AD9A72_ciByRGBA.png,8187bebd9d9c80e8,256,512,scenes/mq/bdan_scene/bdan_room_3Tex_006488.png,8187bebd9d9c80e8,256,512,0
THE LEGEND OF ZELDA#1658CC05#0#2_all.png,/wip/glideout/THE LEGEND OF ZELDA#1658CC05#0#2_all.png,f10ec303fc380ff1,256,256,objects/object_po_sisters/object_po_sistersTex_009BC0.png,f10ec303fc380ff1,256,256,0
THE LEGEND OF ZELDA#D50FADA1#0#2_all.png,/wip/glideout/THE LEGEND OF ZELDA#D50FADA1#0#2_all.png,95413fbf7085d215,256,256,scenes/shared/yousei_izumi_yoko_scene/yousei_izumi_yoko_sceneTex_00ADA0.png,95413fbf7085d215,256,256,0
THE LEGEND OF ZELDA#2CF72BDC#4#0_all.png,/wip/glideout/THE LEGEND OF ZELDA#2CF72BDC#4#0_all.png,c7cf30936c247939,128,128,textures/kanji/gMsgKanji826ACapitalKTex.png,c7cf30936c247939,128,128,0
THE LEGEND OF ZELDA#A1EAA0A9#3#0_all.png,/wip/glideout/THE LEGEND OF ZELDA#A1EAA0A9#3#0_all.png,d0e06e89833f932f,1024,128,textures/item_name_static/gSilverGauntletsItemNameENGTex.png,d0e06e89833f932f,1024,128,0
THE LEGEND OF ZELDA#7B262DD6#0#2_all.png,/wip/glideout/THE LEGEND OF ZELDA#7B262DD6#0#2_all.png,8b2eac5ae885b9d2,512,256,scenes/shared/spot09_scene/spot09_sceneTex_00C160.png,8b2eac5ae885b9d2,512,256,0
THE LEGEND OF ZELDA#8F118F61#4#0_all.png,/wip/glideout/THE LEGEND OF ZELDA#8F118F61#4#0_all.png,f0f00f0f0f0ff00f,128,128,textures/nes_font_static/gMsgChar49LatinCapitalLetterITex.png,f0f00f0f0f0ff00f,128,128,0
THE LEGEND OF ZELDA#A4790074#3#0_all.png,/wip/glideout/THE LEGEND OF ZELDA#A4790074#3#0_all.png,cccc72319933d966,1024,128,textures/item_name_static/gPoeItemNameENGTex.png,cccc72319933d966,1024,128,0
THE LEGEND OF ZELDA#9DD6A964#2#1#68EF487C_ciByRGBA.png,/wip/glideout/THE LEGEND OF ZELDA#9DD6A964#2#1#68EF487C_ciByRGBA.png,ccbdbceca600f846,256,256,scenes/mq/Bmori1_scene/Bmori1_sceneTex_015B90.png,ccbdbceca600f846,256,256,0
